id,code,name,full_name
l10n_latam_sv.86201,86201,"Clínicas médicas","Clínicas médicas"
l10n_latam_sv.56108,56108,"Comedores","Comedores"
l10n_latam_sv.61309,61309,"Comunicacion via satélite n.c.p.","Comunicacion via satélite n.c.p."
l10n_latam_sv.14104,14104,"Confección de prendas a medida","Confección de prendas a medida"
l10n_latam_sv.42100,42100,"Construcción de carreteras, calles y caminos","Construcción de carreteras, calles y caminos"
l10n_latam_sv.41002,41002,"Construcción de edificios no residenciales","Construcción de edificios no residenciales"
l10n_latam_sv.41001,41001,"Construcción de edificios residenciales","Construcción de edificios residenciales"
l10n_latam_sv.42900,42900,"Construcción de obras de ingeniería civil n.c.p.","Construcción de obras de ingeniería civil n.c.p."
l10n_latam_sv.42200,42200,"Construcción de proyectos de servicio público","Construcción de proyectos de servicio público"
l10n_latam_sv.30120,30120,"Construcción y reparación de embarcaciones de recreo","Construcción y reparación de embarcaciones de recreo"
l10n_latam_sv.62020,62020,"Consultorías y gestión de servicios informáticos","Consultorías y gestión de servicios informáticos"
l10n_latam_sv.1612,1612,"Control de plagas","Control de plagas"
l10n_latam_sv.23960,23960,"Corte, tallado y acabado de la piedra","Corte, tallado y acabado de la piedra"
l10n_latam_sv.1491,1491,"Cría de abejas apicultura para la obtención de miel y otros productos apícolas","Cría de abejas apicultura para la obtención de miel y otros productos apícolas"
l10n_latam_sv.1460,1460,"Cría de aves de corral y producción de huevos","Cría de aves de corral y producción de huevos"
l10n_latam_sv.1420,1420,"Cría de caballos y otros equinos","Cría de caballos y otros equinos"
l10n_latam_sv.1450,1450,"Cría de cerdos","Cría de cerdos"
l10n_latam_sv.1492,1492,"Cría de conejos","Cría de conejos"
l10n_latam_sv.1493,1493,"Cría de iguanas y garrobos","Cría de iguanas y garrobos"
l10n_latam_sv.1494,1494,"Cría de mariposas y otros insectos","Cría de mariposas y otros insectos"
l10n_latam_sv.1440,1440,"Cría de ovejas y cabras","Cría de ovejas y cabras"
l10n_latam_sv.1410,1410,"Cría y engorde de ganado bovino","Cría y engorde de ganado bovino"
l10n_latam_sv.1499,1499,"Cría y obtención de productos animales n.c.p.","Cría y obtención de productos animales n.c.p."
l10n_latam_sv.1161,1161,"Cultivo de algodón","Cultivo de algodón"
l10n_latam_sv.1291,1291,"Cultivo de árboles de hule (caucho) para la obtención de látex","Cultivo de árboles de hule (caucho) para la obtención de látex"
l10n_latam_sv.1120,1120,"Cultivo de arroz","Cultivo de arroz"
l10n_latam_sv.1132,1132,"Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares","Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares"
l10n_latam_sv.1271,1271,"Cultivo de café","Cultivo de café"
l10n_latam_sv.1140,1140,"Cultivo de caña de azucar","Cultivo de caña de azucar"
l10n_latam_sv.1111,1111,"Cultivo de cereales excepto arroz y para forrajes","Cultivo de cereales excepto arroz y para forrajes"
l10n_latam_sv.1192,1192,"Cultivo de cereales y pastos para la alimentación animal","Cultivo de cereales y pastos para la alimentación animal"
l10n_latam_sv.1230,1230,"Cultivo de cítricos","Cultivo de cítricos"
l10n_latam_sv.1281,1281,"Cultivo de especias y aromáticas","Cultivo de especias y aromáticas"
l10n_latam_sv.1162,1162,"Cultivo de fibras vegetales excepto algodón","Cultivo de fibras vegetales excepto algodón"
l10n_latam_sv.1240,1240,"Cultivo de frutas de pepita y hueso","Cultivo de frutas de pepita y hueso"
l10n_latam_sv.1251,1251,"Cultivo de frutas ncp","Cultivo de frutas ncp"
l10n_latam_sv.1220,1220,"Cultivo de frutas tropicales","Cultivo de frutas tropicales"
l10n_latam_sv.1260,1260,"Cultivo de frutos oleaginosos","Cultivo de frutos oleaginosos"
l10n_latam_sv.1134,1134,"Cultivo de hortalizas de hoja y otras hortalizas ncp","Cultivo de hortalizas de hoja y otras hortalizas ncp"
l10n_latam_sv.1112,1112,"Cultivo de legumbres","Cultivo de legumbres"
l10n_latam_sv.1119,1119,"Cultivo de otros cereales excepto arroz y forrajeros n.c.p.","Cultivo de otros cereales excepto arroz y forrajeros n.c.p."
l10n_latam_sv.1252,1252,"Cultivo de otros frutos y nueces de árboles y arbustos","Cultivo de otros frutos y nueces de árboles y arbustos"
l10n_latam_sv.1191,1191,"Cultivo de plantas no perennes para la producción de semillas y flores","Cultivo de plantas no perennes para la producción de semillas y flores"
l10n_latam_sv.1272,1272,"Cultivo de plantas para la elaboración de bebidas excepto café","Cultivo de plantas para la elaboración de bebidas excepto café"
l10n_latam_sv.1282,1282,"Cultivo de plantas para la obtención de productos medicinales y farmacéuticos","Cultivo de plantas para la obtención de productos medicinales y farmacéuticos"
l10n_latam_sv.1292,1292,"Cultivo de plantas para la obtención de productos químicos y colorantes","Cultivo de plantas para la obtención de productos químicos y colorantes"
l10n_latam_sv.1114,1114,"Cultivo de plantas para la preparación de semillas","Cultivo de plantas para la preparación de semillas"
